,label,sent
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",I disagree with the statement because in my opinion this fact will not realize .
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Because of the pollution , that exists in amount of quantity yet , the Governments will take misura of security ."
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",The situation today is yet dangerous because the cars in use are millions and millions i the world .
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Even if there are better situations like in Holland and in other northern countries the situation is dramatic .
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","In these countries , life is more natural than in other countries like Italy , because habitants usually use bicycle to move ."
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",They prefer this way to the car .
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","In Italy , for example , don - t exist this attitude and this education for all or about all ."
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","But according to me for the nearby future we , humans , will arrive to the point that we will have to constrict to use public service even if we don - t want or other services will be invent to permit us to move without car ."
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","The essential problem is not the car like object but is how and what it uses to go , gasoline ."
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","With the many wars of today , this element is another enormous problem , for example ."
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Yet this is a problem .
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",For these problems I think that Governments will do laws or other things with the idea that today will not be the future .
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",In this way cars demand will be less than now but only if the Government will know how to fight all problems to guarantee better services than today .
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",An idea will be the constitution of gasoline with a material less dangerous to the environment .
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",This can cause less pollution but we need resources for this new gasoline .
